856.pdf,1101,202201_1101_AI1_20241019_101908.pdf,3,2,會計師核閱報告
377.pdf,1101,202201_1101_AI1_20241019_101908.pdf,5,1,合併資產負債表
263.pdf,1101,202201_1101_AI1_20241019_101908.pdf,6,3,合併綜合損益表
615.pdf,1101,202201_1101_AI1_20241019_101908.pdf,9,1,合併權益變動表
179.pdf,1101,202201_1101_AI1_20241019_101908.pdf,10,3,合併現金流量表
777.pdf,1101,202201_1101_AI1_20241019_101908.pdf,13,1,
977.pdf,1101,202201_1101_AI1_20241019_101908.pdf,13,2,
390.pdf,1101,202201_1101_AI1_20241019_101908.pdf,16,1,
606.pdf,1101,202201_1101_AI1_20241019_101908.pdf,17,48,
843.pdf,1101,202201_1101_AI1_20241019_101908.pdf,64,8,
1004.pdf,1101,202201_1101_AI1_20241019_101908.pdf,71,1,
403.pdf,1101,202201_1101_AI1_20241019_101908.pdf,72,4,
743.pdf,1101,202201_1101_AI1_20241019_101908.pdf,78,2,
384.pdf,1101,202203_1101_AI1_20241019_101901.pdf,3,2,會計師核閱報告
571.pdf,1101,202203_1101_AI1_20241019_101901.pdf,5,1,合併資產負債表
759.pdf,1101,202203_1101_AI1_20241019_101901.pdf,6,2,合併綜合損益表
288.pdf,1101,202203_1101_AI1_20241019_101901.pdf,8,1,合併權益變動表
675.pdf,1101,202203_1101_AI1_20241019_101901.pdf,9,3,合併現金流量表
143.pdf,1101,202203_1101_AI1_20241019_101901.pdf,13,3,
358.pdf,1101,202203_1101_AI1_20241019_101901.pdf,15,2,
107.pdf,1101,202203_1101_AI1_20241019_101901.pdf,16,54,
139.pdf,1101,202203_1101_AI1_20241019_101901.pdf,69,9,
592.pdf,1101,202203_1101_AI1_20241019_101901.pdf,77,1,
867.pdf,1101,202203_1101_AI1_20241019_101901.pdf,77,5,
857.pdf,1101,202203_1101_AI1_20241019_101901.pdf,84,2,
131.pdf,1101,202203_1101_AI1_20241019_101904.pdf,12,2,
952.pdf,1101,202203_1101_AI1_20241019_101904.pdf,12,1,
459.pdf,1101,202301_1101_AI1_20241019_101849.pdf,3,2,會計師核閱報告
822.pdf,1101,202301_1101_AI1_20241019_101849.pdf,5,1,合併資產負債表
352.pdf,1101,202301_1101_AI1_20241019_101849.pdf,6,3,合併綜合損益表
827.pdf,1101,202301_1101_AI1_20241019_101849.pdf,9,1,合併權益變動表
489.pdf,1101,202301_1101_AI1_20241019_101849.pdf,10,3,合併現金流量表
238.pdf,1101,202301_1101_AI1_20241019_101849.pdf,13,2,
747.pdf,1101,202301_1101_AI1_20241019_101849.pdf,13,1,
129.pdf,1101,202301_1101_AI1_20241019_101849.pdf,14,2,
641.pdf,1101,202301_1101_AI1_20241019_101849.pdf,16,1,
758.pdf,1101,202301_1101_AI1_20241019_101849.pdf,16,52,
454.pdf,1101,202301_1101_AI1_20241019_101849.pdf,67,6,
32.pdf,1101,202301_1101_AI1_20241019_101849.pdf,73,1,
654.pdf,1101,202301_1101_AI1_20241019_101849.pdf,73,4,
701.pdf,1101,202301_1101_AI1_20241019_101849.pdf,79,2,
310.pdf,1101,202303_1101_AI1_20241019_101839.pdf,3,2,會計師核閱報告
125.pdf,1101,202303_1101_AI1_20241019_101839.pdf,5,1,合併資產負債表
417.pdf,1101,202303_1101_AI1_20241019_101839.pdf,6,2,合併綜合損益表
360.pdf,1101,202303_1101_AI1_20241019_101839.pdf,8,1,合併權益變動表
670.pdf,1101,202303_1101_AI1_20241019_101839.pdf,9,3,合併現金流量表
342.pdf,1101,202303_1101_AI1_20241019_101839.pdf,12,2,
83.pdf,1101,202303_1101_AI1_20241019_101839.pdf,12,1,
862.pdf,1101,202303_1101_AI1_20241019_101839.pdf,13,3,
242.pdf,1101,202303_1101_AI1_20241019_101839.pdf,15,57,
573.pdf,1101,202303_1101_AI1_20241019_101839.pdf,15,1,
821.pdf,1101,202303_1101_AI1_20241019_101839.pdf,72,8,
522.pdf,1101,202303_1101_AI1_20241019_101839.pdf,79,2,
447.pdf,1101,202303_1101_AI1_20241019_101839.pdf,80,4,
518.pdf,1101,202303_1101_AI1_20241019_101839.pdf,86,2,
846.pdf,1216,202201_1216_AI1_20241018_142023.pdf,4,2,會計師核閱報告
175.pdf,1216,202201_1216_AI1_20241018_142023.pdf,6,2,合併資產負債表
698.pdf,1216,202201_1216_AI1_20241018_142023.pdf,8,2,合併綜合損益表
649.pdf,1216,202201_1216_AI1_20241018_142023.pdf,10,1,合併權益變動表
375.pdf,1216,202201_1216_AI1_20241018_142023.pdf,11,2,合併現金流量表
176.pdf,1216,202201_1216_AI1_20241018_142023.pdf,13,1,
762.pdf,1216,202201_1216_AI1_20241018_142023.pdf,13,2,
576.pdf,1216,202201_1216_AI1_20241018_142023.pdf,14,8,
850.pdf,1216,202201_1216_AI1_20241018_142023.pdf,21,1,
217.pdf,1216,202201_1216_AI1_20241018_142023.pdf,22,32,
708.pdf,1216,202201_1216_AI1_20241018_142023.pdf,54,3,
111.pdf,1216,202201_1216_AI1_20241018_142023.pdf,57,1,
749.pdf,1216,202201_1216_AI1_20241018_142023.pdf,57,3,
4.pdf,1216,202201_1216_AI1_20241018_142023.pdf,59,1,
39.pdf,1216,202201_1216_AI1_20241018_142023.pdf,72,3,
595.pdf,1216,202201_1216_AI1_20241018_142023.pdf,72,3,
224.pdf,1216,202203_1216_AI1_20241018_142021.pdf,4,2,會計師核閱報告
517.pdf,1216,202203_1216_AI1_20241018_142021.pdf,6,2,合併資產負債表
729.pdf,1216,202203_1216_AI1_20241018_142021.pdf,8,2,合併綜合損益表
877.pdf,1216,202203_1216_AI1_20241018_142021.pdf,10,1,合併權益變動表
331.pdf,1216,202203_1216_AI1_20241018_142021.pdf,11,2,合併現金流量表
253.pdf,1216,202203_1216_AI1_20241018_142021.pdf,13,1,
906.pdf,1216,202203_1216_AI1_20241018_142021.pdf,13,2,
603.pdf,1216,202203_1216_AI1_20241018_142021.pdf,14,8,
35.pdf,1216,202203_1216_AI1_20241018_142021.pdf,22,39,
353.pdf,1216,202203_1216_AI1_20241018_142021.pdf,22,1,
541.pdf,1216,202203_1216_AI1_20241018_142021.pdf,61,4,
411.pdf,1216,202203_1216_AI1_20241018_142021.pdf,64,3,
500.pdf,1216,202203_1216_AI1_20241018_142021.pdf,64,1,
572.pdf,1216,202203_1216_AI1_20241018_142021.pdf,66,1,
290.pdf,1216,202301_1216_AI1_20241018_142018.pdf,4,2,會計師核閱報告
975.pdf,1216,202301_1216_AI1_20241018_142018.pdf,6,2,合併資產負債表
700.pdf,1216,202301_1216_AI1_20241018_142018.pdf,8,2,合併綜合損益表
889.pdf,1216,202301_1216_AI1_20241018_142018.pdf,10,1,合併權益變動表
393.pdf,1216,202301_1216_AI1_20241018_142018.pdf,11,2,合併現金流量表
330.pdf,1216,202301_1216_AI1_20241018_142018.pdf,13,1,
470.pdf,1216,202301_1216_AI1_20241018_142018.pdf,13,2,
941.pdf,1216,202301_1216_AI1_20241018_142018.pdf,14,8,
391.pdf,1216,202301_1216_AI1_20241018_142018.pdf,21,1,
746.pdf,1216,202301_1216_AI1_20241018_142018.pdf,21,34,
1017.pdf,1216,202301_1216_AI1_20241018_142018.pdf,55,3,
1023.pdf,1216,202301_1216_AI1_20241018_142018.pdf,58,1,
180.pdf,1216,202301_1216_AI1_20241018_142018.pdf,58,2,
987.pdf,1216,202301_1216_AI1_20241018_142018.pdf,59,1,
617.pdf,1216,202301_1216_AI1_20241018_142018.pdf,60,1,
297.pdf,1216,202301_1216_AI1_20241018_142018.pdf,73,3,
913.pdf,1216,202301_1216_AI1_20241018_142018.pdf,73,3,
741.pdf,1216,202303_1216_AI1_20241018_142015.pdf,6,2,合併資產負債表
731.pdf,1216,202303_1216_AI1_20241018_142015.pdf,8,2,合併綜合損益表
751.pdf,1216,202303_1216_AI1_20241018_142015.pdf,10,1,合併權益變動表
506.pdf,1216,202303_1216_AI1_20241018_142015.pdf,11,2,合併現金流量表
206.pdf,1216,202303_1216_AI1_20241018_142015.pdf,13,1,
368.pdf,1216,202303_1216_AI1_20241018_142015.pdf,13,2,
687.pdf,1216,202303_1216_AI1_20241018_142015.pdf,14,10,
532.pdf,1216,202303_1216_AI1_20241018_142015.pdf,23,43,
851.pdf,1216,202303_1216_AI1_20241018_142015.pdf,23,1,
275.pdf,1216,202303_1216_AI1_20241018_142015.pdf,66,4,
154.pdf,1216,202303_1216_AI1_20241018_142015.pdf,70,3,
647.pdf,1216,202303_1216_AI1_20241018_142015.pdf,70,1,
769.pdf,1216,202303_1216_AI1_20241018_142015.pdf,72,1,
559.pdf,1216,202303_1216_AI1_20241018_142017.pdf,4,2,會計師核閱報告
11.pdf,1326,202201_1326_AI1_20241018_230030.pdf,4,2,會計師核閱報告
68.pdf,1326,202201_1326_AI1_20241018_230030.pdf,6,2,合併資產負債表
214.pdf,1326,202201_1326_AI1_20241018_230030.pdf,8,2,合併綜合損益表
546.pdf,1326,202201_1326_AI1_20241018_230030.pdf,10,1,合併權益變動表
514.pdf,1326,202201_1326_AI1_20241018_230030.pdf,11,2,合併現金流量表
448.pdf,1326,202201_1326_AI1_20241018_230030.pdf,13,1,
97.pdf,1326,202201_1326_AI1_20241018_230030.pdf,13,2,
763.pdf,1326,202201_1326_AI1_20241018_230030.pdf,14,15,
218.pdf,1326,202201_1326_AI1_20241018_230030.pdf,29,1,
596.pdf,1326,202201_1326_AI1_20241018_230030.pdf,29,24,
630.pdf,1326,202201_1326_AI1_20241018_230030.pdf,53,6,
463.pdf,1326,202201_1326_AI1_20241018_230030.pdf,59,1,
580.pdf,1326,202201_1326_AI1_20241018_230030.pdf,59,2,
337.pdf,1326,202201_1326_AI1_20241018_230030.pdf,61,1,
251.pdf,1326,202201_1326_AI1_20241018_230030.pdf,74,3,
884.pdf,1326,202203_1326_AI1_20241018_230020.pdf,4,2,會計師核閱報告
868.pdf,1326,202203_1326_AI1_20241018_230020.pdf,6,2,合併資產負債表
82.pdf,1326,202203_1326_AI1_20241018_230020.pdf,8,2,合併綜合損益表
229.pdf,1326,202203_1326_AI1_20241018_230020.pdf,10,1,合併權益變動表
472.pdf,1326,202203_1326_AI1_20241018_230020.pdf,11,2,合併現金流量表
480.pdf,1326,202203_1326_AI1_20241018_230020.pdf,13,1,
832.pdf,1326,202203_1326_AI1_20241018_230020.pdf,13,2,
535.pdf,1326,202203_1326_AI1_20241018_230020.pdf,14,17,
187.pdf,1326,202203_1326_AI1_20241018_230020.pdf,30,31,
551.pdf,1326,202203_1326_AI1_20241018_230020.pdf,30,1,
1030.pdf,1326,202203_1326_AI1_20241018_230020.pdf,61,8,
165.pdf,1326,202203_1326_AI1_20241018_230020.pdf,69,3,
565.pdf,1326,202203_1326_AI1_20241018_230020.pdf,69,1,
1013.pdf,1326,202203_1326_AI1_20241018_230020.pdf,71,1,
121.pdf,1326,202203_1326_AI1_20241018_230020.pdf,84,3,
190.pdf,1326,202301_1326_AI1_20241018_230011.pdf,4,2,會計師核閱報告
586.pdf,1326,202301_1326_AI1_20241018_230011.pdf,6,2,合併資產負債表
688.pdf,1326,202301_1326_AI1_20241018_230011.pdf,8,2,合併綜合損益表
632.pdf,1326,202301_1326_AI1_20241018_230011.pdf,10,1,合併權益變動表
104.pdf,1326,202301_1326_AI1_20241018_230011.pdf,11,2,合併現金流量表
498.pdf,1326,202301_1326_AI1_20241018_230011.pdf,13,2,
890.pdf,1326,202301_1326_AI1_20241018_230011.pdf,13,1,
639.pdf,1326,202301_1326_AI1_20241018_230011.pdf,14,16,
389.pdf,1326,202301_1326_AI1_20241018_230011.pdf,30,1,
44.pdf,1326,202301_1326_AI1_20241018_230011.pdf,30,28,
148.pdf,1326,202301_1326_AI1_20241018_230011.pdf,58,6,
264.pdf,1326,202301_1326_AI1_20241018_230011.pdf,64,1,
669.pdf,1326,202301_1326_AI1_20241018_230011.pdf,64,3,
521.pdf,1326,202301_1326_AI1_20241018_230011.pdf,66,1,
771.pdf,1326,202301_1326_AI1_20241018_230011.pdf,79,3,
363.pdf,1326,202302_1326_AI1_20241018_230007.pdf,87,3,
938.pdf,1326,202303_1326_AI1_20241018_230001.pdf,4,3,會計師核閱報告
47.pdf,1326,202303_1326_AI1_20241018_230001.pdf,7,2,合併資產負債表
845.pdf,1326,202303_1326_AI1_20241018_230001.pdf,9,2,合併綜合損益表
77.pdf,1326,202303_1326_AI1_20241018_230001.pdf,11,1,合併權益變動表
504.pdf,1326,202303_1326_AI1_20241018_230001.pdf,12,2,合併現金流量表
105.pdf,1326,202303_1326_AI1_20241018_230001.pdf,14,2,
886.pdf,1326,202303_1326_AI1_20241018_230001.pdf,14,1,
113.pdf,1326,202303_1326_AI1_20241018_230001.pdf,15,17,
135.pdf,1326,202303_1326_AI1_20241018_230001.pdf,31,2,
811.pdf,1326,202303_1326_AI1_20241018_230001.pdf,32,33,
1034.pdf,1326,202303_1326_AI1_20241018_230001.pdf,65,9,
246.pdf,1326,202303_1326_AI1_20241018_230001.pdf,73,3,
425.pdf,1326,202303_1326_AI1_20241018_230001.pdf,73,1,
780.pdf,1326,202303_1326_AI1_20241018_230001.pdf,75,1,
529.pdf,1590,202201_1590_AI1_20241019_100509.pdf,3,1,會計師核閱報告
29.pdf,1590,202201_1590_AI1_20241019_100509.pdf,4,1,合併資產負債表
956.pdf,1590,202201_1590_AI1_20241019_100509.pdf,5,2,合併綜合損益表
620.pdf,1590,202201_1590_AI1_20241019_100509.pdf,7,1,合併權益變動表
788.pdf,1590,202201_1590_AI1_20241019_100509.pdf,8,1,合併現金流量表
855.pdf,1590,202201_1590_AI1_20241019_100509.pdf,10,1,
164.pdf,1590,202201_1590_AI1_20241019_100509.pdf,11,1,
369.pdf,1590,202201_1590_AI1_20241019_100509.pdf,13,1,
725.pdf,1590,202201_1590_AI1_20241019_100509.pdf,42,1,
801.pdf,1590,202201_1590_AI1_20241019_100509.pdf,43,1,
875.pdf,1590,202201_1590_AI1_20241019_100509.pdf,46,3,
969.pdf,1590,202203_1590_AI1_20241019_100501.pdf,3,1,會計師核閱報告
665.pdf,1590,202203_1590_AI1_20241019_100501.pdf,4,1,合併資產負債表
558.pdf,1590,202203_1590_AI1_20241019_100501.pdf,5,1,合併綜合損益表
950.pdf,1590,202203_1590_AI1_20241019_100501.pdf,6,1,合併權益變動表
612.pdf,1590,202203_1590_AI1_20241019_100501.pdf,7,2,合併現金流量表
520.pdf,1590,202203_1590_AI1_20241019_100501.pdf,9,5,
953.pdf,1590,202203_1590_AI1_20241019_100501.pdf,9,1,
945.pdf,1590,202203_1590_AI1_20241019_100501.pdf,14,1,
339.pdf,1590,202203_1590_AI1_20241019_100501.pdf,43,1,
910.pdf,1590,202203_1590_AI1_20241019_100501.pdf,44,1,
10.pdf,1590,202203_1590_AI1_20241019_100501.pdf,45,1,
247.pdf,1590,202203_1590_AI1_20241019_100501.pdf,47,2,
248.pdf,1590,202301_1590_AI1_20241019_100453.pdf,3,1,會計師核閱報告
250.pdf,1590,202301_1590_AI1_20241019_100453.pdf,4,1,合併資產負債表
540.pdf,1590,202301_1590_AI1_20241019_100453.pdf,5,2,合併綜合損益表
648.pdf,1590,202301_1590_AI1_20241019_100453.pdf,7,1,合併權益變動表
371.pdf,1590,202301_1590_AI1_20241019_100453.pdf,8,2,合併現金流量表
516.pdf,1590,202301_1590_AI1_20241019_100453.pdf,10,1,
728.pdf,1590,202301_1590_AI1_20241019_100453.pdf,10,4,
501.pdf,1590,202301_1590_AI1_20241019_100453.pdf,13,2,
624.pdf,1590,202301_1590_AI1_20241019_100453.pdf,14,2,
333.pdf,1590,202301_1590_AI1_20241019_100453.pdf,15,26,
933.pdf,1590,202301_1590_AI1_20241019_100453.pdf,41,1,
523.pdf,1590,202301_1590_AI1_20241019_100453.pdf,42,1,
549.pdf,1590,202301_1590_AI1_20241019_100453.pdf,45,2,
309.pdf,1590,202303_1590_AI1_20241019_100446.pdf,3,1,會計師核閱報告
800.pdf,1590,202303_1590_AI1_20241019_100446.pdf,4,1,合併資產負債表
195.pdf,1590,202303_1590_AI1_20241019_100446.pdf,5,1,合併綜合損益表
486.pdf,1590,202303_1590_AI1_20241019_100446.pdf,6,1,合併權益變動表
869.pdf,1590,202303_1590_AI1_20241019_100446.pdf,7,2,合併現金流量表
46.pdf,1590,202303_1590_AI1_20241019_100446.pdf,9,4,
539.pdf,1590,202303_1590_AI1_20241019_100446.pdf,9,1,
623.pdf,1590,202303_1590_AI1_20241019_100446.pdf,12,2,
676.pdf,1590,202303_1590_AI1_20241019_100446.pdf,13,2,
646.pdf,1590,202303_1590_AI1_20241019_100446.pdf,14,27,
433.pdf,1590,202303_1590_AI1_20241019_100446.pdf,40,2,
43.pdf,1590,202303_1590_AI1_20241019_100446.pdf,41,1,
1029.pdf,1590,202303_1590_AI1_20241019_100446.pdf,44,2,
382.pdf,2002,202201_2002_AI1_20241018_143054.pdf,3,1,會計師核閱報告
366.pdf,2002,202201_2002_AI1_20241018_143054.pdf,4,1,合併資產負債表
21.pdf,2002,202201_2002_AI1_20241018_143054.pdf,5,3,合併綜合損益表
212.pdf,2002,202201_2002_AI1_20241018_143054.pdf,8,1,合併權益變動表
491.pdf,2002,202201_2002_AI1_20241018_143054.pdf,9,4,合併現金流量表
110.pdf,2002,202201_2002_AI1_20241018_143054.pdf,13,1,
115.pdf,2002,202201_2002_AI1_20241018_143054.pdf,13,2,
202.pdf,2002,202201_2002_AI1_20241018_143054.pdf,13,1,
7.pdf,2002,202201_2002_AI1_20241018_143054.pdf,13,2,
644.pdf,2002,202201_2002_AI1_20241018_143054.pdf,14,8,
873.pdf,2002,202201_2002_AI1_20241018_143054.pdf,21,1,
260.pdf,2002,202201_2002_AI1_20241018_143054.pdf,22,47,
321.pdf,2002,202201_2002_AI1_20241018_143054.pdf,68,5,
660.pdf,2002,202201_2002_AI1_20241018_143054.pdf,73,1,
920.pdf,2002,202201_2002_AI1_20241018_143054.pdf,77,2,
895.pdf,2002,202203_2002_AI1_20241018_143052.pdf,3,1,會計師核閱報告
283.pdf,2002,202203_2002_AI1_20241018_143052.pdf,4,1,合併資產負債表
693.pdf,2002,202203_2002_AI1_20241018_143052.pdf,5,2,合併綜合損益表
372.pdf,2002,202203_2002_AI1_20241018_143052.pdf,7,1,合併權益變動表
631.pdf,2002,202203_2002_AI1_20241018_143052.pdf,8,4,合併現金流量表
528.pdf,2002,202203_2002_AI1_20241018_143052.pdf,13,8,
320.pdf,2002,202203_2002_AI1_20241018_143052.pdf,20,1,
929.pdf,2002,202203_2002_AI1_20241018_143052.pdf,20,48,
673.pdf,2002,202203_2002_AI1_20241018_143052.pdf,67,5,
907.pdf,2002,202203_2002_AI1_20241018_143052.pdf,72,1,
538.pdf,2002,202203_2002_AI1_20241018_143052.pdf,76,2,
1020.pdf,2002,202203_2002_AI1_20241018_143053.pdf,12,1,
483.pdf,2002,202203_2002_AI1_20241018_143053.pdf,12,2,
475.pdf,2002,202301_2002_AI1_20241018_143050.pdf,3,1,會計師核閱報告
95.pdf,2002,202301_2002_AI1_20241018_143050.pdf,4,1,合併資產負債表
494.pdf,2002,202301_2002_AI1_20241018_143050.pdf,5,3,合併綜合損益表
772.pdf,2002,202301_2002_AI1_20241018_143050.pdf,8,1,合併權益變動表
413.pdf,2002,202301_2002_AI1_20241018_143050.pdf,9,4,合併現金流量表
985.pdf,2002,202301_2002_AI1_20241018_143050.pdf,14,7,
607.pdf,2002,202301_2002_AI1_20241018_143050.pdf,20,1,
266.pdf,2002,202301_2002_AI1_20241018_143050.pdf,21,48,
511.pdf,2002,202301_2002_AI1_20241018_143050.pdf,68,5,
152.pdf,2002,202301_2002_AI1_20241018_143050.pdf,72,2,
51.pdf,2002,202301_2002_AI1_20241018_143050.pdf,77,2,
531.pdf,2002,202303_2002_AI1_20241018_143048.pdf,3,1,會計師核閱報告
903.pdf,2002,202303_2002_AI1_20241018_143048.pdf,4,1,合併資產負債表
844.pdf,2002,202303_2002_AI1_20241018_143048.pdf,5,2,合併綜合損益表
38.pdf,2002,202303_2002_AI1_20241018_143048.pdf,7,1,合併權益變動表
199.pdf,2002,202303_2002_AI1_20241018_143048.pdf,8,4,合併現金流量表
198.pdf,2002,202303_2002_AI1_20241018_143048.pdf,12,3,
716.pdf,2002,202303_2002_AI1_20241018_143048.pdf,12,1,
840.pdf,2002,202303_2002_AI1_20241018_143048.pdf,14,7,
526.pdf,2002,202303_2002_AI1_20241018_143048.pdf,21,48,
657.pdf,2002,202303_2002_AI1_20241018_143048.pdf,68,5,
577.pdf,2002,202303_2002_AI1_20241018_143048.pdf,72,2,
299.pdf,2002,202303_2002_AI1_20241018_143048.pdf,77,2,
745.pdf,2207,202201_2207_AI1_20241018_143223.pdf,4,2,會計師核閱報告
302.pdf,2207,202201_2207_AI1_20241018_143223.pdf,6,2,合併資產負債表
249.pdf,2207,202201_2207_AI1_20241018_143223.pdf,8,2,合併綜合損益表
585.pdf,2207,202201_2207_AI1_20241018_143223.pdf,10,1,合併權益變動表
457.pdf,2207,202201_2207_AI1_20241018_143223.pdf,11,2,合併現金流量表
1000.pdf,2207,202201_2207_AI1_20241018_143223.pdf,13,1,
334.pdf,2207,202201_2207_AI1_20241018_143223.pdf,13,3,
723.pdf,2207,202201_2207_AI1_20241018_143223.pdf,15,24,
833.pdf,2207,202201_2207_AI1_20241018_143223.pdf,38,2,
48.pdf,2207,202201_2207_AI1_20241018_143223.pdf,40,34,
755.pdf,2207,202201_2207_AI1_20241018_143223.pdf,74,7,
468.pdf,2207,202201_2207_AI1_20241018_143223.pdf,80,2,
220.pdf,2207,202201_2207_AI1_20241018_143223.pdf,82,1,
628.pdf,2207,202201_2207_AI1_20241018_143223.pdf,82,2,
530.pdf,2207,202201_2207_AI1_20241018_143223.pdf,116,1,
947.pdf,2207,202203_2207_AI1_20241018_143220.pdf,4,2,會計師核閱報告
440.pdf,2207,202203_2207_AI1_20241018_143220.pdf,6,2,合併資產負債表
569.pdf,2207,202203_2207_AI1_20241018_143220.pdf,8,2,合併綜合損益表
153.pdf,2207,202203_2207_AI1_20241018_143220.pdf,10,1,合併權益變動表
766.pdf,2207,202203_2207_AI1_20241018_143220.pdf,11,2,合併現金流量表
550.pdf,2207,202203_2207_AI1_20241018_143220.pdf,13,1,
943.pdf,2207,202203_2207_AI1_20241018_143220.pdf,13,3,
106.pdf,2207,202203_2207_AI1_20241018_143220.pdf,15,26,
65.pdf,2207,202203_2207_AI1_20241018_143220.pdf,41,2,
8.pdf,2207,202203_2207_AI1_20241018_143220.pdf,42,39,
300.pdf,2207,202203_2207_AI1_20241018_143220.pdf,81,10,
633.pdf,2207,202203_2207_AI1_20241018_143220.pdf,90,2,
714.pdf,2207,202203_2207_AI1_20241018_143220.pdf,91,2,
355.pdf,2207,202203_2207_AI1_20241018_143220.pdf,92,1,
712.pdf,2207,202204_2207_AI1_20241018_143219.pdf,83,7,
564.pdf,2207,202301_2207_AI1_20241018_143217.pdf,4,2,會計師核閱報告
208.pdf,2207,202301_2207_AI1_20241018_143217.pdf,6,2,合併資產負債表
710.pdf,2207,202301_2207_AI1_20241018_143217.pdf,8,2,合併綜合損益表
761.pdf,2207,202301_2207_AI1_20241018_143217.pdf,10,1,合併權益變動表
308.pdf,2207,202301_2207_AI1_20241018_143217.pdf,11,2,合併現金流量表
161.pdf,2207,202301_2207_AI1_20241018_143217.pdf,13,3,
619.pdf,2207,202301_2207_AI1_20241018_143217.pdf,13,1,
117.pdf,2207,202301_2207_AI1_20241018_143217.pdf,15,27,
691.pdf,2207,202301_2207_AI1_20241018_143217.pdf,41,2,
711.pdf,2207,202301_2207_AI1_20241018_143217.pdf,43,34,
429.pdf,2207,202301_2207_AI1_20241018_143217.pdf,84,1,
146.pdf,2207,202301_2207_AI1_20241018_143217.pdf,85,1,
702.pdf,2207,202301_2207_AI1_20241018_143217.pdf,85,2,
594.pdf,2207,202301_2207_AI1_20241018_143217.pdf,120,2,
509.pdf,2207,202303_2207_AI1_20241018_143216.pdf,4,2,會計師核閱報告
193.pdf,2207,202303_2207_AI1_20241018_143216.pdf,6,2,合併資產負債表
802.pdf,2207,202303_2207_AI1_20241018_143216.pdf,8,2,合併綜合損益表
261.pdf,2207,202303_2207_AI1_20241018_143216.pdf,10,1,合併權益變動表
408.pdf,2207,202303_2207_AI1_20241018_143216.pdf,11,2,合併現金流量表
972.pdf,2207,202303_2207_AI1_20241018_143216.pdf,13,3,
992.pdf,2207,202303_2207_AI1_20241018_143216.pdf,13,1,
720.pdf,2207,202303_2207_AI1_20241018_143216.pdf,15,27,
923.pdf,2207,202303_2207_AI1_20241018_143216.pdf,42,2,
383.pdf,2207,202303_2207_AI1_20241018_143216.pdf,43,40,
27.pdf,2207,202303_2207_AI1_20241018_143216.pdf,83,10,
322.pdf,2207,202303_2207_AI1_20241018_143216.pdf,93,1,
989.pdf,2207,202303_2207_AI1_20241018_143216.pdf,94,1,
243.pdf,2207,202303_2207_AI1_20241018_143216.pdf,95,1,
932.pdf,2301,202201_2301_AI1_20241019_095823.pdf,3,2,會計師核閱報告
561.pdf,2301,202201_2301_AI1_20241019_095823.pdf,5,1,合併資產負債表
207.pdf,2301,202201_2301_AI1_20241019_095823.pdf,6,3,合併綜合損益表
652.pdf,2301,202201_2301_AI1_20241019_095823.pdf,9,1,合併權益變動表
629.pdf,2301,202201_2301_AI1_20241019_095823.pdf,10,3,合併現金流量表
204.pdf,2301,202201_2301_AI1_20241019_095823.pdf,13,1,
