檔名,名稱
1,全球人壽豪威六六利率變動型終身壽險(定額給付)
2,全球人壽代代緻富利率變動型終身壽險(定額給付)
3,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
4,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
5,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
6,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
7,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
8,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
9,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
10,南山人壽新福愛小額終身壽險_MPL3
11,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
12,安達人壽美美優美元利率變動型終身壽險
13,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
14,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
15,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
16,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
17,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
18,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
19,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
20,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
21,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
22,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
23,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
24,全球人壽豪威六六利率變動型終身壽險(定額給付)
25,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
26,凱基人壽全民小額終身壽險_EHJIPL
27,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
28,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
29,南山人壽樂活洋溢醫療終身保險_TPHI5
30,全球人壽代代緻富利率變動型終身壽險(定額給付)
31,全球人壽代代緻富利率變動型終身壽險(定額給付)
32,南山人壽新福愛小額終身壽險_MPL3
33,全球人壽代代緻富利率變動型終身壽險(定額給付)
34,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
35,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
36,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
37,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
38,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
39,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
40,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
41,全球人壽金采福旺利率變動型終身壽險(定額給付)
42,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
43,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
44,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
45,安達人壽超美得美元利率變動型終身壽險
46,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
47,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
48,凱基人壽全民小額終身壽險_EHJIPL
49,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
50,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
51,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
52,113 年 1月 29 日
53,南山人壽樂活洋溢醫療終身保險_TPHI5
54,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
55,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
56,全球人壽代代緻富利率變動型終身壽險(定額給付)
57,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
58,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
59,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
60,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
61,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
62,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
63,南山人壽樂活洋溢醫療終身保險_TPHI5
64,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
65,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
66,南山人壽樂活洋溢醫療終身保險_TPHI5
67,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
68,113 年 1月 29 日
69,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
70,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
71,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
72,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
73,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
74,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
75,安達人壽美美優美元利率變動型終身壽險
76,113 年 1月 29 日
77,113 年 1月 29 日
78,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
79,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
80,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
81,全球人壽代代緻富利率變動型終身壽險(定額給付)
82,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
83,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
84,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
85,凱基人壽全民小額終身壽險_EHJIPL
86,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
87,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
88,全球人壽代代緻富利率變動型終身壽險(定額給付)
89,全球人壽代代緻富利率變動型終身壽險(定額給付)
90,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
91,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
92,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
93,南山人壽樂活洋溢醫療終身保險_TPHI5
94,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
95,凱基人壽全民小額終身壽險_EHJIPL
96,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
97,凱基人壽全民小額終身壽險_EHJIPL
98,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
99,南山人壽樂活洋溢醫療終身保險_TPHI5
100,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
101,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
102,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
103,全球人壽代代緻富利率變動型終身壽險(定額給付)
104,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
105,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
106,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
107,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
108,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
109,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
110,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
111,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
112,全球人壽豪威六六利率變動型終身壽險(定額給付)
113,安達人壽美美優美元利率變動型終身壽險
114,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
115,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
116,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
117,全球人壽豪威六六利率變動型終身壽險(定額給付)
118,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
119,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
120,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
121,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
122,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
123,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
124,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
125,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
126,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
127,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
128,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
129,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
130,全球人壽金采福旺利率變動型終身壽險(定額給付)
131,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
132,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
133,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
134,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
135,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
136,安達人壽超美得美元利率變動型終身壽險
137,安達人壽美美優美元利率變動型終身壽險
138,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
139,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
140,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
141,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
142,安達人壽超美得美元利率變動型終身壽險
143,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
144,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
145,安達人壽美美優美元利率變動型終身壽險
146,南山人壽新福愛小額終身壽險_MPL3
147,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
148,南山人壽新福愛小額終身壽險_MPL3
149,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
150,安達人壽美美優美元利率變動型終身壽險
151,全球人壽豪威六六利率變動型終身壽險(定額給付)
152,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
153,安達人壽超美得美元利率變動型終身壽險
154,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
155,全球人壽金美福旺利率變動型美元終身壽險(定額給付)
156,全球人壽金美福旺利率變動型美元終身壽險(定額給付)
157,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
158,安達人壽美美優美元利率變動型終身壽險
159,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
160,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
161,全球人壽豪威六六利率變動型終身壽險(定額給付)
162,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
163,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
164,全球人壽豪威六六利率變動型終身壽險(定額給付)
165,南山人壽樂活洋溢醫療終身保險_TPHI5
166,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
167,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
168,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
169,全球人壽金采福旺利率變動型終身壽險(定額給付)
170,凱基人壽全民小額終身壽險_EHJIPL
171,南山人壽新福愛小額終身壽險_MPL3
172,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
173,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
174,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
175,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
176,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
177,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
178,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
179,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
180,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
181,113 年 1月 29 日
182,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
183,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
184,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
185,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
186,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
187,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
188,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
189,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
190,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
191,全球人壽金采福旺利率變動型終身壽險(定額給付)
192,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
193,安達人壽超美得美元利率變動型終身壽險
194,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
195,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
196,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
197,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
198,凱基人壽全民小額終身壽險_EHJIPL
199,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
200,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
201,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
202,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
203,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
204,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
205,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
206,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
207,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
208,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
209,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
210,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
211,全球人壽金采福旺利率變動型終身壽險(定額給付)
212,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
213,安達人壽超美得美元利率變動型終身壽險
214,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
215,全球人壽金采福旺利率變動型終身壽險(定額給付)
216,全球人壽金采福旺利率變動型終身壽險(定額給付)
217,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
218,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
219,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
220,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
221,南山人壽新福愛小額終身壽險_MPL3
222,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
223,南山人壽新福愛小額終身壽險_MPL3
224,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
225,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
226,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
227,安達人壽超美得美元利率變動型終身壽險
228,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
229,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
230,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
231,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
232,113 年 1月 29 日
233,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
234,安達人壽超美得美元利率變動型終身壽險
235,全球人壽金采福旺利率變動型終身壽險(定額給付)
236,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
237,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
238,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
239,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
240,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
241,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
242,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
243,南山人壽樂活洋溢醫療終身保險_TPHI5
244,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
245,113 年 1月 29 日
246,安達人壽超美得美元利率變動型終身壽險
247,全球人壽金采福旺利率變動型終身壽險(定額給付)
248,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
249,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
250,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
251,全球人壽豪威六六利率變動型終身壽險(定額給付)
252,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
253,南山人壽樂活洋溢醫療終身保險_TPHI5
254,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
255,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
256,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
257,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
258,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
259,全球人壽金采福旺利率變動型終身壽險(定額給付)
260,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
261,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
262,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
263,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
264,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
265,安達人壽美美優美元利率變動型終身壽險
266,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
267,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
268,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
269,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
270,全球人壽代代緻富利率變動型終身壽險(定額給付)
271,全球人壽代代緻富利率變動型終身壽險(定額給付)
272,安達人壽美美優美元利率變動型終身壽險
273,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
274,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
275,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
276,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
277,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
278,安達人壽美美優美元利率變動型終身壽險
279,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
280,安達人壽美美優美元利率變動型終身壽險
281,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
282,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
283,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
284,安達人壽超美得美元利率變動型終身壽險
285,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
286,全球人壽金采福旺利率變動型終身壽險(定額給付)
287,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
288,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
289,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
290,全球人壽代代緻富利率變動型終身壽險(定額給付)
291,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
292,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
293,全球人壽金采福旺利率變動型終身壽險(定額給付)
294,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
295,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
296,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
297,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
298,南山人壽新福愛小額終身壽險_MPL3
299,安達人壽超美得美元利率變動型終身壽險
300,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
301,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
302,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
303,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
304,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
305,113 年 1月 29 日
306,安達人壽美美優美元利率變動型終身壽險
307,113 年 1月 29 日
308,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
309,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
310,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
311,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
312,全球人壽金采福旺利率變動型終身壽險(定額給付)
313,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
314,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
315,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
316,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
317,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
318,凱基人壽龍保倍美元利率變動型終身壽險(定期給付)_APMPPL
319,南山人壽新福愛小額終身壽險_MPL3
320,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
321,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
322,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
323,全球人壽豪威六六利率變動型終身壽險(定額給付)
324,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
325,南山人壽樂活洋溢醫療終身保險_TPHI5
